Gene Name	Gene Start (bp)	Gene End (bp)	Chromosome Name	Strand
evm.TU.scaffold_86.4	28577564	28579333	chr3	1
evm.TU.scaffold_865.10	47087368	47092757	chr1	1
evm.TU.scaffold_865.14	47206934	47209140	chr1	-1
evm.TU.scaffold_865.15	47211814	47212415	chr1	-1
evm.TU.scaffold_865.18	47340069	47341912	chr1	-1
evm.TU.scaffold_865.20	47538274	47538845	chr1	1
evm.TU.scaffold_865.21	47572698	47574183	chr1	-1
evm.TU.scaffold_865.22	47722180	47723826	chr1	-1
evm.TU.scaffold_865.24	48002510	48002691	chr1	-1
evm.TU.scaffold_86.5	28637742	28640181	chr3	-1
evm.TU.scaffold_865.6	47006772	47008806	chr1	1
evm.TU.scaffold_8.6	60067992	60069534	chr9	-1
evm.TU.scaffold_866.1	135029542	135029794	chr3	-1
evm.TU.scaffold_866.2	135030576	135030836	chr3	1
evm.TU.scaffold_86.6	28811695	28812315	chr3	-1
evm.TU.scaffold_866.3	135140389	135141569	chr3	-1
evm.TU.scaffold_866.4	135210261	135258194	chr3	-1
evm.TU.scaffold_866.5	135336918	135342916	chr3	1
evm.TU.scaffold_866.6	135412464	135413188	chr3	-1
evm.TU.scaffold_867.10	71451272	71459044	chr2	-1
evm.TU.scaffold_867.11	71475599	71481220	chr2	-1
evm.TU.scaffold_867.12	71487353	71487790	chr2	1
evm.TU.scaffold_867.13	71517056	71517610	chr2	1
evm.TU.scaffold_867.14	71517996	71533962	chr2	1
evm.TU.scaffold_867.15	71538836	71568376	chr2	1
evm.TU.scaffold_867.16	71668700	71670645	chr2	-1
evm.TU.scaffold_867.1	71330175	71338779	chr2	-1
evm.TU.scaffold_867.17	71686109	71706869	chr2	-1
evm.TU.scaffold_867.18	71736760	71758991	chr2	1
evm.TU.scaffold_867.19	71761532	71763237	chr2	1
evm.TU.scaffold_867.20	71773448	71779017	chr2	1
evm.TU.scaffold_867.22	71808944	71810404	chr2	-1
evm.TU.scaffold_867.23	71825985	71827604	chr2	-1
evm.TU.scaffold_867.24	71910972	71912408	chr2	1
evm.TU.scaffold_867.25	71954690	71956111	chr2	1
evm.TU.scaffold_867.26	71969362	71970914	chr2	1
evm.TU.scaffold_867.2	71341159	71347314	chr2	-1
evm.TU.scaffold_867.27	71984463	71985890	chr2	1
evm.TU.scaffold_867.28	72033938	72035338	chr2	1
evm.TU.scaffold_86.7	28822797	28823414	chr3	-1
evm.TU.scaffold_867.29	72038540	72039570	chr2	1
evm.TU.scaffold_867.30	72067092	72068360	chr2	1
evm.TU.scaffold_867.31	72127034	72128765	chr2	-1
evm.TU.scaffold_867.32	72242031	72243432	chr2	1
evm.TU.scaffold_867.33	72243506	72281320	chr2	1
evm.TU.scaffold_867.34	72344281	72355837	chr2	-1
evm.TU.scaffold_867.35	72473817	72490742	chr2	1
evm.TU.scaffold_867.36	72507036	72508332	chr2	1
evm.TU.scaffold_867.3	71350468	71358567	chr2	1
evm.TU.scaffold_867.37	72518391	72534700	chr2	1
evm.TU.scaffold_867.38	72586323	72587135	chr2	-1
evm.TU.scaffold_867.40	72604915	72605393	chr2	1
evm.TU.scaffold_867.41	72675148	72676801	chr2	-1
evm.TU.scaffold_867.42	72681801	72683268	chr2	-1
evm.TU.scaffold_867.43	72685497	72687173	chr2	-1
evm.TU.scaffold_867.44	72796779	72797439	chr2	1
evm.TU.scaffold_867.45	72804985	72819315	chr2	1
evm.TU.scaffold_867.46	72819330	72822374	chr2	1
evm.TU.scaffold_867.4	71385343	71391599	chr2	1
evm.TU.scaffold_867.47	72837210	72839039	chr2	1
evm.TU.scaffold_867.49	72914459	73010515	chr2	1
evm.TU.scaffold_867.50	73019906	73020268	chr2	1
evm.TU.scaffold_867.51	73020279	73020495	chr2	1
evm.TU.scaffold_867.5	71394356	71395507	chr2	-1
evm.TU.scaffold_867.6	71406069	71407997	chr2	-1
evm.TU.scaffold_867.7	71411341	71412596	chr2	-1
evm.TU.scaffold_867.8	71431028	71435531	chr2	1
evm.TU.scaffold_867.9	71439781	71448547	chr2	1
evm.TU.scaffold_868.2	70397	72036	original_scaffold_868	1
evm.TU.scaffold_86.8	28830176	28830875	chr3	-1
evm.TU.scaffold_868.3	78390	85939	original_scaffold_868	-1
evm.TU.scaffold_868.7	134806	140722	original_scaffold_868	1
evm.TU.scaffold_868.9	169636	183243	original_scaffold_868	1
evm.TU.scaffold_869.10	76055651	76057315	chr8	-1
evm.TU.scaffold_869.11	76031921	76040262	chr8	-1
evm.TU.scaffold_869.12	76020426	76030721	chr8	1
evm.TU.scaffold_869.13	76014630	76018621	chr8	1
evm.TU.scaffold_869.14	76008908	76014279	chr8	1
evm.TU.scaffold_869.15	76002604	76006444	chr8	1
evm.TU.scaffold_869.16	75988226	75997420	chr8	1
evm.TU.scaffold_869.1	76136537	76142314	chr8	-1
evm.TU.scaffold_869.17	75943189	75949404	chr8	-1
evm.TU.scaffold_869.18	75930501	75940585	chr8	-1
evm.TU.scaffold_869.19	75931235	75933462	chr8	1
evm.TU.scaffold_869.20	75928181	75930274	chr8	1
evm.TU.scaffold_869.21	75922551	75925373	chr8	1
evm.TU.scaffold_869.22	75914987	75921193	chr8	1
evm.TU.scaffold_869.23	75897240	75899508	chr8	-1
evm.TU.scaffold_869.24	75890005	75891003	chr8	1
evm.TU.scaffold_869.26	75858211	75859600	chr8	-1
evm.TU.scaffold_869.2	76127059	76133646	chr8	-1
evm.TU.scaffold_869.27	75844090	75849372	chr8	1
evm.TU.scaffold_869.28	75814119	75821863	chr8	-1
evm.TU.scaffold_869.29	75803656	75804983	chr8	1
evm.TU.scaffold_869.30	75802287	75802643	chr8	-1
evm.TU.scaffold_869.31	75801733	75802272	chr8	-1
evm.TU.scaffold_869.32	75794165	75800651	chr8	-1
evm.TU.scaffold_869.33	75787220	75794057	chr8	-1
evm.TU.scaffold_869.34	75767861	75772073	chr8	1
evm.TU.scaffold_869.35	75743964	75760484	chr8	-1
evm.TU.scaffold_869.36	75713957	75731004	chr8	-1
evm.TU.scaffold_869.3	76120955	76123123	chr8	-1
evm.TU.scaffold_869.37	75697340	75708250	chr8	-1
evm.TU.scaffold_869.38	75694810	75697042	chr8	1
evm.TU.scaffold_869.39	75682319	75687208	chr8	-1
evm.TU.scaffold_869.40	75677884	75679808	chr8	-1
evm.TU.scaffold_869.41	75670492	75671269	chr8	1
evm.TU.scaffold_869.42	75634287	75635650	chr8	-1
evm.TU.scaffold_869.43	75623393	75624369	chr8	-1
evm.TU.scaffold_869.44	75615380	75616489	chr8	-1
evm.TU.scaffold_869.45	75607593	75608757	chr8	1
evm.TU.scaffold_869.46	75584216	75597342	chr8	-1
evm.TU.scaffold_869.4	76113829	76118637	chr8	1
evm.TU.scaffold_869.47	75577803	75580456	chr8	1
evm.TU.scaffold_869.48	75543277	75545073	chr8	1
evm.TU.scaffold_869.49	75511695	75523869	chr8	1
evm.TU.scaffold_869.50	75508367	75510933	chr8	-1
evm.TU.scaffold_869.51	75502307	75504775	chr8	-1
evm.TU.scaffold_869.52	75497794	75501188	chr8	-1
evm.TU.scaffold_869.53	75486903	75492764	chr8	1
evm.TU.scaffold_869.54	75474635	75477723	chr8	-1
evm.TU.scaffold_869.55	75468938	75472599	chr8	-1
evm.TU.scaffold_869.5	76090157	76112264	chr8	-1
evm.TU.scaffold_869.57	75457617	75461652	chr8	-1
evm.TU.scaffold_869.58	75445336	75456828	chr8	-1
evm.TU.scaffold_869.59	75401369	75408639	chr8	-1
evm.TU.scaffold_869.61	75384459	75391931	chr8	-1
evm.TU.scaffold_869.62	75381753	75382304	chr8	-1
evm.TU.scaffold_869.63	75366026	75379154	chr8	1
evm.TU.scaffold_869.64	75361601	75362836	chr8	-1
evm.TU.scaffold_869.65	75344016	75350870	chr8	-1
evm.TU.scaffold_869.6	76083873	76090611	chr8	-1
evm.TU.scaffold_869.68	75293995	75298657	chr8	-1
evm.TU.scaffold_869.69	75287502	75287958	chr8	1
evm.TU.scaffold_869.70	75281020	75286162	chr8	-1
evm.TU.scaffold_869.71	75272707	75279789	chr8	1
evm.TU.scaffold_869.73	75243409	75257331	chr8	-1
evm.TU.scaffold_869.7	76077887	76082517	chr8	-1
evm.TU.scaffold_869.9	76057830	76060275	chr8	1
evm.TU.scaffold_872.11	41597260	41597442	chr6	-1
evm.TU.scaffold_872.16	41497222	41498092	chr6	-1
evm.TU.scaffold_872.19	41409170	41409601	chr6	1
evm.TU.scaffold_872.21	41357415	41362039	chr6	-1
evm.TU.scaffold_872.22	41332584	41357197	chr6	1
evm.TU.scaffold_872.25	41237819	41257095	chr6	-1
evm.TU.scaffold_872.26	41229156	41233982	chr6	1
evm.TU.scaffold_872.27	41218290	41219794	chr6	1
evm.TU.scaffold_872.28	41213720	41217547	chr6	1
evm.TU.scaffold_872.29	41183127	41186389	chr6	1
evm.TU.scaffold_872.30	41179057	41179608	chr6	-1
evm.TU.scaffold_872.32	41128110	41169945	chr6	-1
evm.TU.scaffold_872.3	41713649	41713851	chr6	-1
evm.TU.scaffold_872.35	41088778	41092590	chr6	-1
evm.TU.scaffold_872.4	41711192	41713648	chr6	-1
evm.TU.scaffold_872.5	41694861	41695907	chr6	1
evm.TU.scaffold_872.6	41676605	41677730	chr6	1
evm.TU.scaffold_873.18	91650328	91652957	chr6	1
evm.TU.scaffold_873.19	91660478	91661260	chr6	-1
evm.TU.scaffold_873.2	91170580	91173599	chr6	1
evm.TU.scaffold_873.5	91292667	91316368	chr6	-1
evm.TU.scaffold_873.6	91317980	91319156	chr6	-1
evm.TU.scaffold_873.8	91372251	91372805	chr6	-1
evm.TU.scaffold_873.9	91469533	91479173	chr6	-1
evm.TU.scaffold_874.2	96440	96961	original_scaffold_874	-1
evm.TU.scaffold_874.3	103198	103575	original_scaffold_874	-1
evm.TU.scaffold_875.2	22012	23071	original_scaffold_875	-1
evm.TU.scaffold_875.4	71719	72054	original_scaffold_875	-1
evm.TU.scaffold_875.6	72507	73013	original_scaffold_875	1
evm.TU.scaffold_875.7	73082	73426	original_scaffold_875	1
evm.TU.scaffold_8.7	60069254	60114305	chr9	1
evm.TU.scaffold_876.2	25365	27709	original_scaffold_876	1
evm.TU.scaffold_876.5	169349	171314	original_scaffold_876	-1
evm.TU.scaffold_876.8	178997	179584	original_scaffold_876	1
evm.TU.scaffold_877.2	64015	69551	original_scaffold_877	1
evm.TU.scaffold_877.3	94008	108071	original_scaffold_877	1
evm.TU.scaffold_877.4	121193	121813	original_scaffold_877	-1
evm.TU.scaffold_878.1	42453348	42456307	chr10	1
evm.TU.scaffold_878.14	42737794	42739859	chr10	1
evm.TU.scaffold_878.15	42811493	42901878	chr10	1
evm.TU.scaffold_878.17	42906303	42925547	chr10	-1
evm.TU.scaffold_878.19	43021809	43081512	chr10	1
evm.TU.scaffold_878.3	42481228	42482040	chr10	1
evm.TU.scaffold_878.4	42508042	42525220	chr10	1
evm.TU.scaffold_878.6	42585767	42588242	chr10	1
evm.TU.scaffold_878.8	42657119	42658915	chr10	1
evm.TU.scaffold_880.1	74383711	74384859	chr1	-1
evm.TU.scaffold_880.3	74543892	74545221	chr1	-1
evm.TU.scaffold_880.6	74939726	74941729	chr1	1
evm.TU.scaffold_880.7	74953355	74953669	chr1	-1
evm.TU.scaffold_88.10	56411067	56411444	chr11	-1
evm.TU.scaffold_88.11	56411465	56414968	chr11	-1
evm.TU.scaffold_88.12	56421232	56443774	chr11	-1
evm.TU.scaffold_88.13	56449277	56468083	chr11	1
evm.TU.scaffold_88.14	56500664	56518362	chr11	-1
evm.TU.scaffold_88.15	56544331	56552893	chr11	1
evm.TU.scaffold_88.1	56137358	56143807	chr11	-1
evm.TU.scaffold_88.20	56680623	56692893	chr11	1
evm.TU.scaffold_88.2	56145245	56151847	chr11	-1
evm.TU.scaffold_883.2	94572452	94572788	chr1	1
evm.TU.scaffold_883.4	94370137	94374371	chr1	-1
evm.TU.scaffold_88.3	56160205	56161547	chr11	1
evm.TU.scaffold_883.5	94344457	94359135	chr1	1
evm.TU.scaffold_883.6	94262580	94262745	chr1	-1
evm.TU.scaffold_883.7	94253234	94255399	chr1	1
evm.TU.scaffold_88.4	56166673	56167089	chr11	1
evm.TU.scaffold_885.10	33262648	33263539	chr7	1
evm.TU.scaffold_885.11	33241498	33242825	chr7	-1
evm.TU.scaffold_885.12	33109677	33156062	chr7	-1
evm.TU.scaffold_885.1	33580733	33587081	chr7	-1
evm.TU.scaffold_885.14	33089612	33089891	chr7	-1
evm.TU.scaffold_885.15	33035562	33036466	chr7	1
evm.TU.scaffold_885.18	32998959	33002658	chr7	-1
evm.TU.scaffold_885.19	32992839	32997563	chr7	-1
evm.TU.scaffold_885.20	32976245	32978286	chr7	-1
evm.TU.scaffold_885.21	32927529	32930763	chr7	-1
evm.TU.scaffold_885.22	32923953	32927760	chr7	1
evm.TU.scaffold_885.23	32911993	32912332	chr7	-1
evm.TU.scaffold_885.2	33552471	33558722	chr7	-1
evm.TU.scaffold_885.24	32902006	32906462	chr7	1
evm.TU.scaffold_885.25	32882352	32889348	chr7	1
evm.TU.scaffold_885.26	32879749	32882243	chr7	1
evm.TU.scaffold_885.27	32832067	32835191	chr7	1
evm.TU.scaffold_885.28	32796611	32797941	chr7	1
evm.TU.scaffold_885.29	32772276	32774011	chr7	1
evm.TU.scaffold_885.30	32668542	32677535	chr7	-1
evm.TU.scaffold_885.32	32372704	32373016	chr7	-1
evm.TU.scaffold_885.33	32156390	32157619	chr7	1
evm.TU.scaffold_885.3	33530082	33552096	chr7	1
evm.TU.scaffold_885.4	33473361	33527721	chr7	1
evm.TU.scaffold_885.5	33453148	33455984	chr7	1
evm.TU.scaffold_88.5	56169441	56180564	chr11	1
evm.TU.scaffold_885.6	33406943	33409057	chr7	-1
evm.TU.scaffold_885.7	33355724	33402502	chr7	-1
evm.TU.scaffold_885.8	33305705	33331666	chr7	-1
evm.TU.scaffold_885.9	33300516	33301112	chr7	-1
evm.TU.scaffold_8.8	60123315	60134691	chr9	-1
evm.TU.scaffold_886.11	35834823	35837291	chr6	-1
evm.TU.scaffold_886.12	35840442	35855425	chr6	1
evm.TU.scaffold_886.13	35889607	35892843	chr6	1
evm.TU.scaffold_886.15	35949906	35957909	chr6	1
evm.TU.scaffold_886.16	35961590	35962128	chr6	-1
evm.TU.scaffold_886.17	35962129	35967990	chr6	-1
evm.TU.scaffold_886.18	35983400	35985321	chr6	-1
evm.TU.scaffold_886.5	35698358	35699137	chr6	-1
evm.TU.scaffold_88.6	56187064	56191261	chr11	1
evm.TU.scaffold_886.6	35704637	35704921	chr6	1
evm.TU.scaffold_887.1	44994408	45002973	chr8	-1
evm.TU.scaffold_887.17	44669134	44670766	chr8	1
evm.TU.scaffold_887.20	44605820	44609103	chr8	-1
evm.TU.scaffold_887.24	44542744	44542935	chr8	-1
evm.TU.scaffold_887.2	44964677	44991859	chr8	-1
evm.TU.scaffold_887.25	44492183	44493865	chr8	1
evm.TU.scaffold_887.5	44922208	44922778	chr8	-1
evm.TU.scaffold_88.7	56195402	56280751	chr11	-1
evm.TU.scaffold_887.6	44883459	44884810	chr8	-1
evm.TU.scaffold_887.7	44879343	44883101	chr8	-1
evm.TU.scaffold_887.8	44868698	44875003	chr8	-1
evm.TU.scaffold_887.9	44858754	44868306	chr8	-1
evm.TU.scaffold_88.8	56306640	56313908	chr11	-1
evm.TU.scaffold_88.9	56325136	56406680	chr11	1
evm.TU.scaffold_890.5	265907	266533	original_scaffold_890	1
evm.TU.scaffold_890.6	266537	266860	original_scaffold_890	1
evm.TU.scaffold_890.9	320751	324628	original_scaffold_890	-1
evm.TU.scaffold_891.1	30695	30955	original_scaffold_891	-1
evm.TU.scaffold_89.3	54493504	54504137	chr12	1
evm.TU.scaffold_89.5	54550202	54551845	chr12	1
evm.TU.scaffold_8.9	60164595	60211324	chr9	1
evm.TU.scaffold_898.10	26996170	27001391	chr1	-1
evm.TU.scaffold_898.11	27005229	27085851	chr1	-1
evm.TU.scaffold_898.1	26847052	26852650	chr1	1
evm.TU.scaffold_898.15	27243000	27245987	chr1	1
evm.TU.scaffold_898.16	27246070	27248816	chr1	1
evm.TU.scaffold_898.17	27251195	27251638	chr1	1
evm.TU.scaffold_898.21	27358698	27470786	chr1	1
evm.TU.scaffold_898.22	27471453	27525077	chr1	1
evm.TU.scaffold_898.2	26854212	26870999	chr1	-1
evm.TU.scaffold_898.23	27545164	27561501	chr1	1
evm.TU.scaffold_898.24	27564921	27567477	chr1	1
evm.TU.scaffold_898.25	27589205	27589768	chr1	1
evm.TU.scaffold_898.26	27589892	27590854	chr1	1
evm.TU.scaffold_898.27	27599959	27605269	chr1	-1
evm.TU.scaffold_898.28	27605432	27611628	chr1	-1
evm.TU.scaffold_898.29	27641060	27641755	chr1	1
evm.TU.scaffold_898.30	27658582	27676563	chr1	1
evm.TU.scaffold_898.31	27678202	27683814	chr1	-1
evm.TU.scaffold_898.37	27766868	27768407	chr1	1
evm.TU.scaffold_898.38	27777802	27791615	chr1	1
evm.TU.scaffold_898.39	27803456	27804584	chr1	1
evm.TU.scaffold_898.40	27812352	27814405	chr1	1
evm.TU.scaffold_898.41	27814411	27815862	chr1	1
evm.TU.scaffold_898.42	27847306	27847807	chr1	1
evm.TU.scaffold_898.4	26889106	26889426	chr1	-1
evm.TU.scaffold_898.43	27852518	27861405	chr1	1
evm.TU.scaffold_898.44	27863042	27868701	chr1	-1
evm.TU.scaffold_898.45	27886112	27899333	chr1	-1
evm.TU.scaffold_898.47	27933342	27943550	chr1	1
evm.TU.scaffold_898.48	27946034	28021919	chr1	-1
evm.TU.scaffold_898.50	28046769	28088137	chr1	-1
evm.TU.scaffold_898.51	28143993	28145629	chr1	1
evm.TU.scaffold_898.52	28179229	28184792	chr1	-1
evm.TU.scaffold_898.5	26915393	26924652	chr1	1
evm.TU.scaffold_898.53	28225593	28230601	chr1	1
evm.TU.scaffold_898.54	28231725	28239127	chr1	-1
evm.TU.scaffold_898.55	28246329	28282577	chr1	-1
evm.TU.scaffold_898.56	28294800	28295856	chr1	-1
evm.TU.scaffold_898.57	28297564	28304470	chr1	-1
evm.TU.scaffold_898.58	28306837	28326636	chr1	-1
evm.TU.scaffold_898.59	28330465	28338608	chr1	-1
evm.TU.scaffold_898.60	28358563	28358874	chr1	1
evm.TU.scaffold_898.6	26925377	26925715	chr1	1
evm.TU.scaffold_898.63	28390062	28390590	chr1	-1
evm.TU.scaffold_898.72	28594606	28595594	chr1	1
evm.TU.scaffold_898.7	26935106	26937773	chr1	-1
evm.TU.scaffold_898.73	28609249	28609612	chr1	1
evm.TU.scaffold_898.8	26959531	26962087	chr1	-1
evm.TU.scaffold_898.9	26965884	26995777	chr1	-1
evm.TU.scaffold_899.1	58187438	58190801	chr9	-1
evm.TU.scaffold_899.2	58255765	58264877	chr9	-1
evm.TU.scaffold_899.3	58276846	58321144	chr9	-1
evm.TU.scaffold_900.12	192679	201633	original_scaffold_900	1
evm.TU.scaffold_900.14	221027	226747	original_scaffold_900	1
evm.TU.scaffold_900.7	113966	142884	original_scaffold_900	-1
evm.TU.scaffold_900.8	143080	143346	original_scaffold_900	-1
evm.TU.scaffold_901.11	68182410	68192172	chr3	-1
evm.TU.scaffold_901.12	68162015	68162580	chr3	1
evm.TU.scaffold_901.14	68099182	68116731	chr3	-1
evm.TU.scaffold_901.15	68094853	68095012	chr3	-1
evm.TU.scaffold_901.1	68458560	68460761	chr3	-1
evm.TU.scaffold_901.2	68402793	68434944	chr3	-1
evm.TU.scaffold_901.3	68369395	68369976	chr3	-1
evm.TU.scaffold_901.4	68278735	68279779	chr3	-1
evm.TU.scaffold_901.5	68272180	68275277	chr3	-1
evm.TU.scaffold_901.6	68252948	68253265	chr3	1
evm.TU.scaffold_901.7	68250268	68252814	chr3	1
evm.TU.scaffold_901.8	68240529	68249230	chr3	-1
evm.TU.scaffold_901.9	68235564	68239134	chr3	-1
evm.TU.scaffold_904.14	75164801	75168484	chr5	1
evm.TU.scaffold_904.15	75168932	75173411	chr5	-1
evm.TU.scaffold_904.17	75227246	75228517	chr5	1
evm.TU.scaffold_904.18	75229444	75236028	chr5	-1
evm.TU.scaffold_904.19	75236052	75239208	chr5	-1
evm.TU.scaffold_904.20	75261731	75270124	chr5	1
evm.TU.scaffold_904.21	75276669	75276881	chr5	-1
evm.TU.scaffold_904.22	75280465	75288579	chr5	-1
evm.TU.scaffold_904.23	75291970	75299482	chr5	-1
evm.TU.scaffold_904.24	75306783	75320701	chr5	1
evm.TU.scaffold_904.25	75322529	75326234	chr5	1
evm.TU.scaffold_904.2	74997266	75003367	chr5	1
evm.TU.scaffold_904.30	75368418	75375403	chr5	1
evm.TU.scaffold_904.3	75005982	75030949	chr5	1
evm.TU.scaffold_904.4	75035622	75036563	chr5	-1
evm.TU.scaffold_904.5	75039316	75058296	chr5	-1
evm.TU.scaffold_904.7	75061553	75066507	chr5	-1
evm.TU.scaffold_904.8	75079894	75080127	chr5	1
evm.TU.scaffold_904.9	75083982	75097757	chr5	1
evm.TU.scaffold_905.10	143776016	143795329	chr3	1
evm.TU.scaffold_905.11	143796209	143921391	chr3	1
evm.TU.scaffold_905.1	143591804	143605120	chr3	1
evm.TU.scaffold_905.12	143923105	143923632	chr3	-1
evm.TU.scaffold_905.13	143938819	143941594	chr3	1
evm.TU.scaffold_905.2	143614737	143645951	chr3	-1
evm.TU.scaffold_905.5	143702854	143719695	chr3	1
evm.TU.scaffold_905.8	143745459	143747230	chr3	1
evm.TU.scaffold_906.1	95957	96829	original_scaffold_906	-1
evm.TU.scaffold_907.1	45757	54663	original_scaffold_907	-1
evm.TU.scaffold_907.5	109315	109762	original_scaffold_907	1
evm.TU.scaffold_908.11	25815300	25816443	chr11	-1
evm.TU.scaffold_908.12	25814600	25814854	chr11	-1
evm.TU.scaffold_908.1	26220508	26222856	chr11	-1
evm.TU.scaffold_908.13	25814129	25814350	chr11	-1
evm.TU.scaffold_908.19	25674214	25696351	chr11	1
evm.TU.scaffold_908.20	25636758	25641111	chr11	-1
evm.TU.scaffold_908.23	25476194	25496793	chr11	1
evm.TU.scaffold_908.24	25413099	25414357	chr11	1
evm.TU.scaffold_908.28	25316023	25333605	chr11	1
evm.TU.scaffold_908.29	25276942	25277268	chr11	1
evm.TU.scaffold_908.31	25189676	25190426	chr11	1
evm.TU.scaffold_908.32	25153222	25179913	chr11	1
evm.TU.scaffold_908.33	25139501	25148696	chr11	1
evm.TU.scaffold_908.34	25130924	25138141	chr11	1
evm.TU.scaffold_908.35	25123851	25124399	chr11	-1
evm.TU.scaffold_908.36	25104219	25104749	chr11	-1
evm.TU.scaffold_908.38	25072872	25085252	chr11	-1
evm.TU.scaffold_908.39	25036743	25039929	chr11	-1
evm.TU.scaffold_908.40	25036129	25036626	chr11	-1
evm.TU.scaffold_908.41	25035042	25036093	chr11	-1
evm.TU.scaffold_908.42	25024437	25033352	chr11	1
evm.TU.scaffold_908.4	26188720	26195369	chr11	1
evm.TU.scaffold_908.43	25004206	25018348	chr11	1
evm.TU.scaffold_908.44	24992819	25000094	chr11	-1
evm.TU.scaffold_908.45	24946357	24957453	chr11	1
evm.TU.scaffold_908.46	24934271	24946423	chr11	-1
evm.TU.scaffold_908.47	24913616	24928049	chr11	-1
evm.TU.scaffold_908.48	24906698	24912135	chr11	1
evm.TU.scaffold_908.49	24897614	24898051	chr11	1
evm.TU.scaffold_908.50	24888717	24897350	chr11	1
evm.TU.scaffold_908.52	24864111	24864929	chr11	1
evm.TU.scaffold_908.5	26153682	26156503	chr11	-1
evm.TU.scaffold_908.53	24861577	24863991	chr11	1
evm.TU.scaffold_908.6	26070053	26072400	chr11	1
evm.TU.scaffold_908.7	25931675	25976565	chr11	-1
evm.TU.scaffold_908.8	25877183	25913912	chr11	1
evm.TU.scaffold_908.9	25835508	25840125	chr11	-1
evm.TU.scaffold_91.10	34696900	34697178	chr4	-1
evm.TU.scaffold_911.1	133481240	133482640	chr3	1
evm.TU.scaffold_91.11	34697209	34722456	chr4	-1
evm.TU.scaffold_911.2	133433595	133461389	chr3	-1
evm.TU.scaffold_91.12	34722523	34722971	chr4	-1
evm.TU.scaffold_911.3	133428446	133428751	chr3	1
evm.TU.scaffold_911.4	133351283	133365910	chr3	-1
evm.TU.scaffold_912.1	30411	57546	original_scaffold_912	-1
evm.TU.scaffold_912.2	77654	87833	original_scaffold_912	-1
evm.TU.scaffold_912.3	130504	133115	original_scaffold_912	1
evm.TU.scaffold_91.2	32929193	32929423	chr4	-1
evm.TU.scaffold_912.4	134152	135287	original_scaffold_912	1
evm.TU.scaffold_913.10	134572	135303	original_scaffold_913	1
evm.TU.scaffold_913.11	135381	145793	original_scaffold_913	1
evm.TU.scaffold_913.12	178791	184727	original_scaffold_913	-1
evm.TU.scaffold_913.1	2859	3179	original_scaffold_913	-1
evm.TU.scaffold_913.13	184839	185147	original_scaffold_913	-1
evm.TU.scaffold_913.14	202158	222568	original_scaffold_913	-1
evm.TU.scaffold_913.17	260846	281384	original_scaffold_913	1
evm.TU.scaffold_913.18	283403	286954	original_scaffold_913	-1
evm.TU.scaffold_91.3	32960312	32961077	chr4	-1
evm.TU.scaffold_913.3	46062	53905	original_scaffold_913	1
evm.TU.scaffold_913.5	93163	94967	original_scaffold_913	-1
evm.TU.scaffold_915.2	109230932	109242832	chr3	-1
evm.TU.scaffold_91.5	33477720	33488292	chr4	-1
evm.TU.scaffold_915.6	109449803	109450330	chr3	1
evm.TU.scaffold_915.7	109478949	109479104	chr3	1
evm.TU.scaffold_91.6	33488655	33494727	chr4	-1
evm.TU.scaffold_917.13	264037	273235	original_scaffold_917	1
evm.TU.scaffold_917.14	282756	284520	original_scaffold_917	-1
evm.TU.scaffold_917.3	18139	34709	original_scaffold_917	-1
evm.TU.scaffold_91.7	33599129	33602999	chr4	-1
evm.TU.scaffold_917.4	34720	36499	original_scaffold_917	-1
evm.TU.scaffold_917.5	41404	42775	original_scaffold_917	-1
evm.TU.scaffold_917.6	54263	55807	original_scaffold_917	-1
evm.TU.scaffold_91.8	33804262	33995408	chr4	1
evm.TU.scaffold_91.9	34362831	34364546	chr4	-1
evm.TU.scaffold_919.5	60231	77270	original_scaffold_919	-1
evm.TU.scaffold_920.4	75062027	75066449	chr6	-1
evm.TU.scaffold_920.5	75070905	75114052	chr6	-1
evm.TU.scaffold_920.7	75201851	75206882	chr6	1
evm.TU.scaffold_920.8	75206909	75207592	chr6	1
evm.TU.scaffold_921.1	39843435	39845242	chr4	1
evm.TU.scaffold_922.10	58182465	58184201	chr10	-1
evm.TU.scaffold_922.2	57890848	57891086	chr10	1
evm.TU.scaffold_922.3	57969223	57970799	chr10	-1
evm.TU.scaffold_922.4	58017964	58028986	chr10	1
evm.TU.scaffold_922.6	58069002	58072032	chr10	-1
evm.TU.scaffold_922.7	58079728	58079913	chr10	-1
evm.TU.scaffold_922.8	58130286	58130831	chr10	1
evm.TU.scaffold_922.9	58130833	58131426	chr10	1
evm.TU.scaffold_926.1	12438	14096	original_scaffold_926	1
evm.TU.scaffold_926.14	195821	214561	original_scaffold_926	1
evm.TU.scaffold_926.15	233460	235852	original_scaffold_926	1
evm.TU.scaffold_926.2	25865	27368	original_scaffold_926	-1
evm.TU.scaffold_926.6	57232	79462	original_scaffold_926	1
evm.TU.scaffold_926.7	82126	82897	original_scaffold_926	1
evm.TU.scaffold_926.8	84295	86984	original_scaffold_926	1
evm.TU.scaffold_926.9	90366	98394	original_scaffold_926	1
evm.TU.scaffold_927.3	188728	220565	original_scaffold_927	-1
evm.TU.scaffold_927.4	222142	222471	original_scaffold_927	1
evm.TU.scaffold_927.5	222496	222981	original_scaffold_927	1
evm.TU.scaffold_928.1	1209	2129	original_scaffold_928	1
